Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,roommate names,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy Price,Annual Policy Price,Agent Name,Agent Address,Agent Phone Number,Quote Number
Renters,95112,Natalie,Gallagher,03/27/1994,m,101 E San Fernando St 100,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 284-9080,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,50000,Keep default,1000,100000,N,2500,$15.57,$186.87,Roger Nguyen,"San Jose, CA",(408) 293-7250,#54859847
Renters,94041,Zachery,Murphy,06/06/1994,m,151 Calderon Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(707) 538-1516,william.palmer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,60000,Keep default,2000,100000,N,100,$28.57,$342.80,Lili Li,"Sunnyvale, CA",(650) 409-8999,#85236554
Renters,95030,Madelyn,Myers,04/05/1994,m,347 Massol Ave,Los Gatos,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(650) 341-6700,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,60000,Keep default,2000,100000,N,250,$22.90,$274.84,Gail Randolph,"Saratoga, CA",(408) 866-4230,#35512583
Renters,95020,Leah,Mullins,11/12/1994,m,7397 Monterey St,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 378-7188,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,1000,300000,N,2500,$34.25,$410.98,Albert Pinheiro,"Gilroy, CA",(408) 842-4619,#60091463
Renters,94304,Abigail,Lawrence,12/1/1993,f,700 Clark Way,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(877) 713-4583,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,1000,500000,N,100,$34.17,$410.01,John Kikes,"Danville, CA",(925) 820-6661,#63827336
Renters,95134,Lincoln,Davenport,04/05/1994,m,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(866) 932-5588,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,100,$30.67,$368.01,Michael Short,"San Jose, CA",(408) 466-6586,#07298303
Renters,95126,August,Schmidt,03/27/1994,f,2050 Southwest Expy 126,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 244-0900,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,1500,$23.59,$283.10,Dominik Caloiaro,"San Jose, CA",(408) 292-1112,#20177154
Renters,95020,Griffin,Lee,07/31/1993,m,500 Ioof Ave,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(844) 325-4744,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,2500,$32.42,$388.98,Ted Herzon,"Soquel, CA",(408) 666-1672,#57968759
Renters,95125,Emmett,Meyers,12/1/1993,f,1776 Almaden Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(619) 561-2320,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,5000,$17.37,$208.40,Joe Angelini,"Half Moon Bay, CA",(650) 726-4818,#59402745
Renters,95126,Ruby,Chapman,03/27/1994,f,1201 Parkmoor Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(650) 557-4116,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,750,$29.10,$349.18,James Melin,"San Jose, CA",(408) 985-0500,#01921958
Renters,95134,Victoria,Shelton,02/04/1994,f,4343 Renaissance Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 600-1431,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,1500,$20.58,$247.00,Jevi Oclarit,"Milpitas, CA",(408) 854-4274,#10456837
Renters,95136,Evangeline,Rivera,05/06/1994,f,3601 Copperfield Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 492-2180,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,2500,$22.87,$274.48,Michael Fiamingo,"San Jose, CA",(408) 445-9700,#89530712
Renters,95008,Victoria,Black,11/18/1993,m,2275 S Bascom Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(858) 530-2100,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,500000,N,1500,$27.34,$328.10,Thu Nguyen,"San Jose, CA",(408) 258-8388,#94756616
Renters,95112,Silas,Acosta,11/18/1993,m,1700 N 1st St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(858) 693-1175,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,500000,N,2500,$22.23,$266.81,Timothy Shannon,"Pasadena, CA",(800) 999-5729,#00545815
Renters,94043,Holden,Ramirez,03/08/1994,f,555 W Middlefield Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 978-9619,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,500000,N,5000,$17.38,$208.60,Vrinder Makol,"Fremont, CA",(510) 687-9100,#38833492
Renters,95054,William,Mueller,06/06/1994,f,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 664-2724,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,100000,N,100 / 250,$31.22,$374.61,Stephen Larson,"Sacramento, CA",(916) 428-4520,#10590582
Renters,95050,Lorelei,Berry,04/05/1994,m,2200 Monroe St,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 491-1125,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,100000,N,2500,$17.17,$206.04,Leny Bueno,"San Jose, CA",(408) 449-4871,#03353587
Renters,95050,Zachery,Adkins,05/06/1994,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 223-0828,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,300000,N,100,$34.60,$415.22,David Castillo,"San Jose, CA",(408) 238-2000,#21355229
Renters,94301,Sophie,Malone,11/18/1993,m,459 Hamilton Ave,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 513-0086,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,300000,N,500,$26.02,$312.20,Stacy Lin,"Fremont, CA",(510) 505-2474,#48773914
Renters,95127,Greyson,Stevens,06/06/1994,m,2601 Nuestra Castillo Ct,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 732-9450,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,250,$33.12,$397.50,Jose Manabat,"San Jose, CA",(408) 437-5456,#09504212
Renters,94043,Conner,Barnes,12/1/1993,f,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 359-1333,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,1000,$24.82,$297.86,Dennis Fulfer,"Citrus Heights, CA",(877) 315-3555,#51093060
Renters,94086,Arabella,Wong,02/04/1994,m,243 Buena Vista Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 924-1196,ian.schwartz@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,2500,$20.92,$251.04,Jason Schram,"Palo Alto, CA",(650) 522-0027,#47119059
Renters,94086,Quinn,Monroe,11/12/1994,m,655 S Fair Oaks Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(760) 434-6161,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,100000,N,250,$26.26,$315.17,Andrew Chavez,"Los Angeles, CA",(310) 881-2770,#30132160
Renters,94086,Clare,Wang,02/04/1994,f,732 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(888) 270-6855,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,100000,N,750,$22.62,$271.47,Jae Lee,"San Jose, CA",(408) 252-3200,#61181430
Renters,95136,Rosalie,Munoz,02/04/1994,f,4300 The Woods Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(888) 270-6855,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,100000,N,1500,$25.15,$301.86,Ernest Dillard,"El Dorado Hills, CA",(916) 939-8553,#55693421
Renters,94043,Autumn,Rowe,05/06/1994,f,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 971-9397,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,300000,N,100 / 250,$33.55,$402.61,Dennis Fulfer,"Citrus Heights, CA",(877) 315-3555,#61970857
Renters,95051,Charlotte,Bradley,02/04/1994,m,1901 Halford Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(510) 582-5240,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,300000,N,250,$28.35,$340.17,Jianmei Quitt,"San Diego, CA",(858) 605-5780,#94305454
Renters,94043,Brielle,Saunders,04/05/1994,m,505 Central Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 688-2085,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,300000,N,1000,$23.40,$280.86,Lena Bobba,"Newark, CA",(510) 659-0488,#71909361
Renters,95134,Kaleb,Mason,02/04/1994,m,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(408) 384-8887,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,300000,N,1500,$21.84,$262.13,Michael Short,"San Jose, CA",(408) 466-6586,#72648706
Renters,94086,Graham,Lyons,11/18/1993,m,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(650) 557-4116,ian.schwartz@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,300000,N,2500,$19.50,$234.04,Qing Sun,"Artesia, CA",(562) 810-0500,#75168163
Renters,95030,Dillan,Craig,05/06/1994,m,347 Massol Ave,Los Gatos,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 334-1880,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,500000,N,100,$36.52,$438.22,Diem Pham,"San Jose, CA",(408) 900-7200,#75043297
Renters,95129,Emmett,Holland,11/18/1993,f,355 Kiely Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(888) 704-5204,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,500000,N,250,$30.01,$360.17,David McCoy,"San Jose, CA",(408) 249-7148,#45584708
Renters,95126,Gavin,Lee,03/27/1994,f,1300 The Alameda,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(415) 354-4501,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,100000,N,100 / 250,$42.19,$506.24,Jason Schram,"Palo Alto, CA",(650) 522-0027,#03349502
Renters,94087,Archer,Lara,03/08/1994,m,1575 Tenaka Pl,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(858) 571-0104,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,100000,N,250,$27.49,$329.91,Dana Zhang,"San Jose, CA",(408) 377-9199,#71875768
Renters,95136,Anabel,Wong,07/31/1993,m,4300 The Woods Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(707) 361-4060,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,100000,N,750,$30.23,$362.80,Ernest Dillard,"El Dorado Hills, CA",(916) 939-8553,#43494426
Renters,95112,Sophie,Watkins,06/06/1994,f,1700 N 1st St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(510) 758-6874,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,300000,N,100 / 250,$39.51,$474.15,Timothy Shannon,"Pasadena, CA",(800) 999-5729,#36637231
Renters,95051,Felix,Daniel,03/27/1994,m,100 Buckingham Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(866) 575-9826,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,300000,N,1500,$22.70,$272.43,Teketel Mulugeta,"San Jose, CA",(408) 249-8123,#01375256
Renters,95054,Rhys,Navarro,12/1/1993,f,730 Agnew Rd,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(925) 735-3047,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,300000,N,2500,$20.23,$242.74,Michael Reen,"San Jose, CA",(408) 449-4839,#88675966
Renters,95112,Adam,Wolf,06/06/1994,m,524 S 9th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,,0,(619) 479-6565,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,1000,$29.01,$348.17,Michael O'Connor,"San Jose, CA",(408) 251-5102,#27303386
