Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible
Renters,94110,Gideon,Morgan,03/08/1990,m,3469 18th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 295-1360,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94109,Lea,Wheeler,11/12/1990,m,952 Sutter St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 284-5285,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94704,Carter,Hicks,12/1/1988,m,2020 Kittredge St,Berkeley,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 425-3914,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94117,Wyatt,Ochoa,03/27/1987,f,783 Buena Vista Ave W,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 981-5780,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94542,Vivienne,Harris,06/06/1986,m,25200 Carlos Bee Blvd,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 502-5355,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94114,Ella,Pena,03/08/1990,f,3904 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 591-1143,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94501,Amelia,Knight,07/31/1988,f,564 Central Ave,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 216-8947,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94107,Evangeline,Jones,12/1/1988,m,3 Bayside Village Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 861-3333,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94803,Emily,Gross,03/03/1988,f,3535 El Portal Dr,El Sobrante,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 265-2120,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94105,Conner,Guerra,07/31/1988,m,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 865-2875,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94109,Milo,Rivas,04/05/1990,m,1100 Gough St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 334-1880,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94002,Joshua,Douglas,04/05/1990,f,2515 Carlmont Dr,Belmont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 615-9200,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94103,Jackson,Cohen,03/03/1988,m,1188 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 463-5393,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94545,Nora,Griffin,03/08/1990,f,25800 Industrial Blvd.,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 451-2806,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94107,Lily,Craig,04/05/1990,f,1 St Francis Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 491-1125,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94105,Archer,Shaffer,12/1/1988,f,388 Beale Street,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 373-1025,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94105,Mason,Pope,04/05/1990,f,88 Howard St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 693-1175,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94105,Everly,Powers,03/08/1990,f,121 Spear St B18,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 615-9200,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94109,Cole,Mcguire,11/18/1989,f,1609 Franklin St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 671-1752,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94109,James,Paul,03/08/1990,m,1388 Sutter St 11,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 268-2574,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94103,Seth,Roth,07/31/1988,f,44 Gough St 202,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 924-1196,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94704,Kole,Holt,04/05/1990,f,2230 Durant Ave  103,Berkeley,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 552-9443,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94596,Ella,Reese,11/12/1990,f,1200 Newell Hill Pl,Walnut Creek,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 733-2306,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94404,Matthew,Luna,03/03/1988,m,808 Comet Dr,Foster City,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 361-4060,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94115,Dominick,Nelson,07/31/1988,f,1475 Fillmore St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 861-9981,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94510,Joseph,Lara,03/03/1988,f,801 Southampton Rd,Benicia,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 610-0954,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94806,Jase,Serrano,11/18/1989,f,2490 Lancaster Dr,Richmond,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 866-1005,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94132,Leo,Simmons,11/18/1989,m,3711 19th Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 502-5355,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94102,Wyatt,Becker,03/08/1990,m,1 Polk St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 474-5333,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94123,Rhys,Crawford,05/06/1989,f,1550 Bay St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 284-5285,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94109,Tessa,Long,03/03/1988,m,1560 Van Ness Ave,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 589-2909,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94549,Aaron,Chandler,02/04/1989,f,949 East St,Lafayette,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 777-4100,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94801,Jace,Fields,11/18/1989,f,400 Harbour Way,Richmond,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 540-5454,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94109,Thomas,Campbell,02/04/1989,m,888 OFarrell St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 225-8648,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94043,Dillan,Perry,07/31/1988,m,555 W Middlefield Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 777-4100,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94158,Elliot,Cortez,05/06/1989,f,355 Berry St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 425-3914,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94103,Sophia,Luna,06/06/1986,m,1045 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 626-6900,katte@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
