Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,roommate names,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible
Renters,94089,Oliver,Williams,05/06/1989,f,1235 Wildwood Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 487-1218,benjamin.garcia@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94304,Asher,Smith,11/12/1990,f,1600 Sand Hill Rd,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 285-1231,violet.moore@outlook.com,N,N,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95035,Henry,Jackson,03/27/1987,m,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 821-7280,ethan.thompson@aol.com,N,N,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95054,Amelia,Garcia,12/1/1988,m,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 736-4963,emma.jackson@aol.com,N,N,N,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95126,Henry,Smith,03/08/1990,f,754 The Alameda,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 728-9514,oliver.jackson@aol.com,N,N,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94301,Ava,Davis,02/04/1989,f,501 Forest Ave,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(888) 284-2778,ethan.thompson@aol.com,N,N,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95051,Ava,Wilson,05/06/1989,m,3500 Granada Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 861-9981,sofia.johnson@gmail.com,N,N,N,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95035,Noah,Williams,06/06/1986,f,555 S Park Victoria Dr,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 284-9080,violet.moore@outlook.com,N,N,N,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95126,Asher,Thompson,07/31/1988,f,950 Meridian Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 626-3100,emma.jackson@aol.com,N,N,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95008,Ava,Thomas,03/08/1990,m,200 Hollis Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(619) 231-9600,sofia.johnson@gmail.com,N,N,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95126,Ava,Davis,02/04/1989,f,2050 Southwest Expy 126,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 474-5333,oliver.jackson@aol.com,N,N,Y,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95134,Charlotte,Taylor,11/12/1990,m,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 736-4963,ethan.thompson@aol.com,N,N,Y,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94087,Sophia,Martinez,11/12/1990,m,902 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(858) 565-9081,sofia.jones@aol.com,N,N,Y,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94086,Sophia,Jackson,02/04/1989,m,825 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 885-3333,violet.moore@outlook.com,N,N,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94040,Liam,Martin,04/05/1990,m,234 Escuela Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(855) 646-0468,sofia.johnson@gmail.com,N,N,Y,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95131,Noah,Jackson,04/05/1990,m,1600 Whitewood Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 487-1218,arya.moore@gmail.com,N,N,Y,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95112,Henry,Williams,03/27/1987,m,524 S 9th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 492-9660,sofia.johnson@gmail.com,N,Y,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95014,Charlotte,Wilson,06/06/1986,m,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 861-9981,arya.moore@gmail.com,N,Y,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94086,Ava,Miller,03/27/1987,m,243 Buena Vista Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 861-3333,sofia.johnson@gmail.com,N,Y,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95014,Amelia,Garcia,06/06/1986,f,7375 Rollingdell Dr,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 255-2288,violet.moore@outlook.com,N,Y,N,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94086,Aria,Rodriguez,12/1/1988,m,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(619) 280-4988,benjamin.garcia@aol.com,N,Y,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95134,Amelia,Jones,03/03/1988,f,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(888) 492-9765,benjamin.garcia@aol.com,N,Y,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94087,Emma,Thompson,05/06/1989,m,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(619) 443-1720,violet.moore@outlook.com,N,Y,N,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95054,Oliver,Anderson,05/06/1989,m,1500 Vista Club Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 758-4888,benjamin.garcia@aol.com,N,Y,N,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95014,Sophia,Thomas,04/05/1990,f,19608 Pruneridge Ave,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 578-4349,owen.wilson@outlook.com,N,Y,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95125,Aria,Moore,03/08/1990,f,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(858) 666-2423,emma.jackson@aol.com,N,Y,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95008,Olivia,Johnson,11/18/1989,m,200 Hollis Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 736-8658,owen.wilson@outlook.com,N,Y,Y,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,94040,Olivia,Davis,03/03/1988,m,1200 Dale Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(888) 284-2778,arya.moore@gmail.com,N,Y,Y,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95051,Benjamin,Thompson,04/05/1990,m,1901 Halford Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(888) 492-9765,benjamin.garcia@aol.com,N,Y,Y,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95020,Owen,Davis,05/06/1989,f,7397 Monterey St,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(760) 489-9272,oliver.jackson@aol.com,N,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
Renters,95054,Aria,Thomas,12/1/1988,m,1500 Vista Club Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(866) 251-7152,sofia.johnson@gmail.com,N,Y,Y,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100
